Country,Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
United States of America,2015,Developed,79.3,13,23,,0,92,188,69.6,26,93,,95,0.1,,,0.8,0.6,,
United States of America,2014,Developed,79.1,14,23,8.82,0,92,667,69.1,27,93,17.14,95,0.1,,,0.8,0.6,,
United States of America,2013,Developed,78.9,16,23,8.82,0,91,187,68.6,27,93,16.9,94,0.1,,,0.7,0.6,,
United States of America,2012,Developed,78.8,16,24,8.82,0,9,55,68,28,93,17.2,94,0.1,,,0.7,0.6,,
United States of America,2011,Developed,78.7,16,25,8.67,0,91,220,67.5,29,94,17.6,96,0.1,,,0.7,0.6,,
United States of America,2010,Developed,78.7,15,25,8.55,0,92,63,66.9,30,93,17.2,95,0.1,,,0.7,0.6,,
United States of America,2009,Developed,78.5,18,26,8.71,0,92,71,66.3,31,93,17,95,0.1,,,0.7,0.6,,
United States of America,2008,Developed,78.2,18,27,8.74,0,94,140,65.7,31,94,16.2,96,0.1,,,0.7,0.6,,
United States of America,2007,Developed,78.1,11,27,8.74,0,93,43,65.1,32,93,15.57,96,0.1,,,0.7,0.6,,
United States of America,2006,Developed,77.8,113,28,8.63,0,93,55,64.4,33,93,15.27,96,0.1,,,0.7,0.6,,
United States of America,2005,Developed,77.5,112,28,8.52,0,93,66,63.8,33,92,15.15,96,0.1,,,0.7,0.6,,
United States of America,2004,Developed,77.5,111,28,8.48,0,92,37,63.1,33,92,15.14,96,0.1,,,0.7,0.6,,
United States of America,2003,Developed,77.2,114,28,8.4,0,92,56,62.4,33,91,15.6,96,0.1,,,0.7,0.6,,
United States of America,2002,Developed,77,115,28,8.33,0,88,41,61.7,33,9,14.55,94,0.1,,,0.8,0.6,,
United States of America,2001,Developed,76.9,115,28,8.25,0,89,116,6.9,33,89,13.73,94,0.1,,,0.8,0.6,,
United States of America,2000,Developed,76.8,114,28,8.21,0,9,85,6.1,33,9,13.7,94,0.1,,,0.8,0.7,,
China,2015,Developing,76.1,85,157,,0,99,42361,32.9,183,99,,99,0.1,869.211938,137122,3.6,2.9,0.734,13.5
China,2014,Developing,75.8,86,171,5.78,109.8743903,99,52628,31.9,198,99,5.55,99,0.1,7683.5238,136427,3.7,3,0.723,13.1
China,2013,Developing,75.6,88,185,5.79,9.955532032,99,26883,3.9,216,99,5.39,99,0.1,777.77594,135738,3.8,3.2,0.713,12.7
China,2012,Developing,75.4,89,201,5.74,94.4344566,99,6183,3,233,99,5.26,99,0.1,6337.882993,135695,3.9,3.3,0.703,12.4
China,2011,Developing,75.2,91,215,5.63,91.26749779,99,9943,29,251,99,5.3,99,0.1,5633.79616,134413,4.1,3.5,0.7,12.8
China,2010,Developing,75,92,231,5.75,5.660754839,99,38159,28.1,268,99,4.89,99,0.1,456.512487,133775,4.2,3.6,0.691,12.5
China,2009,Developing,74.9,93,248,4.88,50.28348923,99,52461,27.3,288,99,5.8,99,0.1,3838.434292,133126,4.4,3.8,0.682,12.2
China,2008,Developing,74.5,97,266,4.27,39.22509728,95,131441,26.5,308,99,4.59,97,0.1,3471.247547,1324655,4.5,4,0.672,11.9
China,2007,Developing,74.4,96,285,3.88,312.6624819,92,109023,25.7,332,94,4.32,93,0.1,2695.366223,1317885,4.7,4.1,0.659,11.4
China,2006,Developing,74.2,98,307,3.28,29.74342979,91,99602,24.9,360,94,4.52,93,0.1,299.229676,13112,4.8,4.3,0.646,11
China,2005,Developing,73.9,99,332,2.92,171.6596026,84,124219,24.1,392,87,4.66,87,0.1,1753.4178,13372,5,4.4,0.634,10.6
China,2004,Developing,73.5,11,360,3.04,1.58668462,79,70549,23.4,427,87,4.72,87,0.1,158.668462,129675,5.1,4.6,0.622,10.2
China,2003,Developing,73.1,13,391,2.96,122.9365349,75,71879,22.6,467,87,4.82,86,0.1,1288.642924,12884,5.3,4.7,0.61,9.9
China,2002,Developing,72.7,16,422,2.91,106.3590358,7,58341,21.9,511,86,4.79,86,0.1,1148.5857,1284,5.5,4.9,0.6,9.7
China,2001,Developing,72.2,11,457,2.84,14.23064496,65,88962,21.2,558,86,4.56,86,0.1,153.1824,127185,5.7,5,0.592,9.6
China,2000,Developing,71.7,115,490,3.06,17.46057369,6,71093,2.5,608,86,4.6,85,0.1,959.372181,1262645,5.9,5.1,0.583,9.5
Japan,2015,Developed,83.7,55,2,,0,,35,29,3,99,,96,0.1,34474.13736,127141,2.1,1.8,0.902,15.3
Japan,2014,Developed,83.5,57,2,0.01,88.83362243,,462,28.6,3,99,1.23,96,0.1,3896.21151,127276,2,1.7,0.899,15.3
Japan,2013,Developed,83.5,56,2,7.55,94.43428615,,229,28.2,3,99,1.25,96,0.1,4454.44746,127445,2,1.7,0.894,15.3
Japan,2012,Developed,83.3,58,2,7.39,121.5869163,,228,27.8,3,99,1.17,97,0.1,4863.47665,127629,1.9,1.7,0.889,15.3
Japan,2011,Developed,82.5,64,3,7.39,9498.729062,,434,27.4,4,96,1.7,97,0.1,48167.99727,127833,1.9,1.6,0.884,15.1
Japan,2010,Developed,83,62,3,6.9,863.0061491,,450,26.9,4,98,9.58,97,0.1,4457.67639,1287,1.9,1.6,0.879,15.1
Japan,2009,Developed,83,64,3,7.09,899.1785285,,741,26.4,4,99,9.51,97,0.1,4855.17564,12847,1.8,1.6,0.881,15
